1,Misc,2009-04-23 06:03:49 +0600,2009-06-08 09:57:44 +0600
5,Development,2009-04-23 06:33:26 +0600,2009-04-23 06:33:26 +0600
8,Client Communication,2009-04-28 13:37:20 +0600,2009-04-28 13:37:20 +0600
9,Sales,2009-04-30 02:54:11 +0600,2009-04-30 02:54:11 +0600
11,Heads Up,2009-05-17 05:27:48 +0600,2009-05-17 05:27:48 +0600
13,Recruitment,2009-05-19 10:55:13 +0600,2009-05-19 10:55:13 +0600
20,Activity Log,2009-06-03 18:06:48 +0600,2009-06-03 18:06:48 +0600
21,Update,2009-06-03 18:07:01 +0600,2009-06-03 18:07:01 +0600
22,Event,2009-06-03 18:07:13 +0600,2009-06-03 18:07:13 +0600
23,Technical Review,2009-06-03 18:07:28 +0600,2009-06-03 18:07:28 +0600
24,Meeting Minutes,2009-06-03 18:07:46 +0600,2009-06-03 18:07:46 +0600
32,Meeting with developer,2009-06-03 18:11:47 +0600,2009-06-03 18:11:47 +0600
33,Meeting with client,2009-06-03 18:12:03 +0600,2009-06-03 18:12:03 +0600
36,Code Review,2009-06-03 18:15:23 +0600,2009-06-03 18:15:23 +0600
